Tariff item number,,,Description of goods,Product specific rules
,29.04,,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated.",LVC 40% or CTSH
,29.05,,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.",
,,,- Saturated monohydric alcohols:,
,,2905.11,-- Methanol (methyl alcohol),LVC 40% or CTSH
,,2905.12,-- Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),LVC 40% or CTSH
,,2905.13,-- Butan-1-ol (n-butyl alcohol),LVC 40% or CTSH
,,2905.14,-- Other butanols,LVC 40% or CTSH
,,2905.16,-- Octanol (octyl alcohol) and isomers thereof,LVC 40% or CTSH
,,2905.17,"-- Dodecan-1-ol (lauryl alcohol), hexadecane-1-ol (cetyl alcohol) and",LVC 40% or CTSH
,,,,
,,,octadecan-1-ol (stearyl alcohol),
,,2905.19,-- Other,LVC 40% or CTSH
,,,- Unsaturated monohydric alcohols:,
,,2905.22,-- Acyclic terpene alcohols,LVC 40% or CTSH
,,2905.29,-- Other,LVC 40% or CTSH
,,,- Diols:,
,,2905.31,-- Ethylene glycol (ethanediol),LVC 40% or CTSH
,,2905.32,"-- Propylene glycol (propane-1,2-diol)",LVC 40% or CTSH
,,2905.39,-- Other,LVC 40% or CTSH
,,,- Other polyhydric alcohols:,
,,2905.41,"-- 2-Ethyl-2-(hydroxymethyl)
 propane-1,3-diol (trimethylolpropane)",LVC 40% or CTSH
,,2905.42,-- Pentaerythritol,LVC 40% or CTSH
,,2905.44,-- D-glucitol (sorbitol),CTH except heading 17.02.
,,2905.49,"-- Other
 Note: Other than
 2-Ethyl-2-(hydroxymethyl)
 propane-1,3-diol (trimethylolpropane), pentaerythritol, mannitol, d-glucitol (sorbitol), and glycerol.",LVC 40% or CTSH
,,,"- Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols:",
,,2905.51,-- Ethchlorvynol (INN),LVC 40% or CTSH
,,2905.59,-- Other,LVC 40% or CTSH
,29.06,,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.",
,,,"- Cyclanic, cyclenic or cycloterpenic:",
,,2906.11,-- Menthol,CC except from Chapter 33.
,,2906.12,"-- Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols",LVC 40% or CTSH
,,2906.13,-- Sterols and inositols,LVC 40% or CTSH
,,2906.19,-- Other,LVC 40% or CTSH
,,,- Aromatic:,
,,2906.21,-- Benzyl alcohol,LVC 40% or CTSH
,,2906.29,-- Other,LVC 40% or CTSH
,29.07,,Phenols; phenols-alcohols.,LVC 40% or CTSH
,29.09,,"Ethers, ether-alcohols,
 ether-phenols,
 ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivatives.",LVC 40% or CTSH
,29.1,,"Epoxides, epoxyalcohols, epoxyphenols",LVC 40% or CTSH
,,,,
,,,"and epoxyethers, with a three-membered ring, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",
,29.12,,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde.",LVC 40% or CTSH
,29.14,,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",
,,,- Acyclic ketones without other oxygen function:,
,,2914.11,-- Acetone,LVC 40% or CTSH
,,2914.12,-- Butanone (methyl ethyl ketone),LVC 40% or CTSH
,,2914.13,-- 4-Methylpentan-2-one (methyl isobutyl ketone),LVC 40% or CTSH
,,2914.19,-- Other,LVC 40% or CTSH
,,,"- Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function:",
,,2914.22,-- Cyclohexanone and methylcyclohexanones,LVC 40% or CTSH
,,2914.23,-- Ionones and methylionones,LVC 40% or CTSH
,,2914.29,"-- Other
 Note: Other than camphor; cyclohexanone and methylcyclohexanones; and ionones and methylionones.",LVC 40% or CTSH
,,,- Aromatic ketones without other oxygen function:,
,,2914.31,-- Phenylacetone (phenylpropan-2-one),LVC 40% or CTSH
,,2914.39,-- Other,LVC 40% or CTSH
,,2914.4,- Ketone-alcohols and ketone-aldehydes,LVC 40% or CTSH
,,2914.5,- Ketone-phenols and ketones with other oxygen function,LVC 40% or CTSH
,,,- Quinones:,
,,2914.61,-- Anthraquinone,LVC 40% or CTSH
,,2914.69,-- Other,LVC 40% or CTSH
,,2914.7,"- Halogenated, sulphonated, nitrated or nitrosated derivatives",LVC 40% or CTSH
,29.15,,"Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",LVC 40% or CTSH
,29.16,,"Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",LVC 40% or CTSH
,29.17,,"Polycarboxylic acids, their",LVC 40% or CTSH
,,,,
,,,"anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",
,29.18,,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",
,,,"- Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives:",
,,2918.11,"-- Lactic acid, its salts and esters",LVC 40% or CTSH
,,2918.12,-- Tartaric acid,LVC 40% or CTSH
,,2918.13,-- Salts and esters of tartaric acid,LVC 40% or CTSH
,,2918.14,-- Citric acid,"CTH except from Chapter
 17 or 23."
,,2918.15,-- Salts and esters of citric acid,"CTH except from Chapter
 17 or 23."
,,2918.16,"-- Gluconic acid, its salts and esters",LVC 40% or CTSH
,,2918.18,-- Chlorobenzilate (ISO),LVC 40% or CTSH
,,2918.19,-- Other,LVC 40% or CTSH
,,,"- Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives:",
,,2918.21,-- Salicylic acid and its salts,LVC 40% or CTSH
,,2918.22,"-- O-Acetylsalicylic acid, its salts
 and esters",LVC 40% or CTSH
,,2918.23,-- Other esters of salicylic acid and their salts,LVC 40% or CTSH
,,2918.29,-- Other,LVC 40% or CTSH
,,2918.3,"- Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and
 their derivatives",LVC 40% or CTSH
,,,- Other:,
,,2918.91,"-- 2,4,5-T (ISO)
 (2,4,5-trichlorophenoxyacetic acid),
 its salts and esters",LVC 40% or CTSH
,,2918.99,-- Other,LVC 40% or CTSH
,29.2,,"Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives.",LVC 40% or CTSH
,29.21,,Amine-function compounds.,LVC 40% or CTSH
,,,,
,29.22,,Oxygen-function amino-compounds.,
,,,"- Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof:",
,,2922.11,-- Monoethanolamine and its salts,LVC 40% or CTSH
,,2922.12,-- Diethanolamine and its salts,LVC 40% or CTSH
,,2922.13,-- Triethanolamine and its salts,LVC 40% or CTSH
,,2922.14,"-- Dextropropoxyphene (INN) and its
 salts",LVC 40% or CTSH
,,2922.19,-- Other,LVC 40% or CTSH
,,,"- Amino-naphthols and other amino-phenols, other than those containing more than one kind of oxygen function; salts thereof:",
,,2922.21,"-- Aminohydroxynaphthalenesulphonic
 acids and their salts",LVC 40% or CTSH
,,2922.29,-- Other,LVC 40% or CTSH
,,,"- Amino-aldehydes, amino-ketones and amino-quinones, other than those containing more than one kind of oxygen function; salts thereof:",
,,2922.31,"-- Amfepramone (INN), methadone (INN) and normethadone (INN); salts thereof",LVC 40% or CTSH
,,2922.39,-- Other,LVC 40% or CTSH
,,,"- Amino-acids, other than those containing more than one kind of oxygen function, and their esters; salts thereof:",
,,2922.41,-- Lysine and its esters; salts thereof,LVC 40% or CTSH
,,2922.43,-- Anthranilic acid and its salts,LVC 40% or CTSH
,,2922.44,-- Tilidine (INN) and its salts,LVC 40% or CTSH
,,2922.49,"-- Other
 Note: Other than lysine, its esters, glutamic acid, anthranilic acid, tilidine (INN) and salts thereof.",LVC 40% or CTSH
,,2922.5,"- Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function",LVC 40% or CTSH
,29.23,,"Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined.",
,,2923.1,- Choline and its salts,LVC 40% or CTSH
,,2923.9,"- Other
 Note: Other than choline and its salts; and lecithins and other phosphoaminolipids.",LVC 40% or CTSH
,29.24,,Carboxyamide-function compounds; amide-function compounds of carbonic acid.,
,,,,
,,,- Acyclic amides (including acyclic cabamates) and their derivatives; salts thereof:,
,,2924.11,-- Meprobamate (INN),LVC 40% or CTSH
,,2924.12,"-- Fluroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO)",LVC 40% or CTSH
,,2924.19,--Other,LVC 40% or CTSH
,,,- Cyclic amides (including cyclic carbamates) and their derivatives; salts thereof:,
,,2924.21,-- Ureines and their derivatives; salts thereof,LVC 40% or CTSH
,,2924.23,"-- 2-Acetamidobenzoic acid
 (N-acetylanthranilic acid) and its salts",LVC 40% or CTSH
,,2924.24,-- Ethinamate (INN),LVC 40% or CTSH
,29.25,,Caboxyimide-function compounds (including saccharin and its salts) and imine-function compounds.,LVC 40% or CTSH
,29.26,,Nitrile-function compounds.,LVC 40% or CTSH
,29.29,,Compounds with other nitrogen function.,LVC 40% or CTSH
,29.3,,Organo-sulphur compounds.,LVC 40% or CTSH
,29.32,,Heterocyclic compounds with oxygen hetero-atom(s) only.,LVC 40% or CTSH
,29.33,,Heterocyclic compounds with nitrogen hetero-atom(s) only.,LVC 40% or CTSH
,29.34,,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds.",LVC 40% or CTSH
,29.36,,"Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent.",LVC 40% or CTSH
,29.4,2940,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 29.37, 29.38 or 29.39.",CTH except from heading 17.02.
Chapter 30,,,Pharmaceutical products,
,30.06,,Pharmaceutical goods specified in Note 4 to this Chapter.,
,,,"- Other
 Note: Other than sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound",
,,,,
,,,"closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable; blood-grouping reagents; opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient; dental cements and other dental fillings; bone reconstruction cements, first-aid boxes and kits; chemical contraceptive preparations based onhormones, on other products of heading 29.37 or on spermicides；and gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments.",
,,3006.91,-- Appliances identifiable for ostomy use,LVC 40% or CTSH
,,3006.92,-- Waste pharmaceuticals,WO
Chapter 31,,,Fertilizers,
,31.02,,"Mineral or chemical fertilizers, nitrogenous.",LVC 40% or CTSH
,31.03,,"Mineral or chemical fertilizers, phosphatic.",
,,3103.1,- Superphosphates,LVC 40% or CTSH
,31.04,,"Mineral or chemical fertilizers, potassic.",LVC 40% or CTSH
,31.05,,"Mineral or chemical fertilizers containing two or three of the fertilizing elements nitrogen, phosphorus and potassium; other fertilizers; goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg.",
,,3105.1,"- Goods of this Chapter in tablets or similar forms or in packages of a gross
 weight not exceeding 10 kg",CC
,,3105.2,"- Mineral or chemical fertilizers containing the three fertilizing elements nitrogen, phosphorus and potassium",LVC 40% or CTSH
,,,,
,,3105.3,- Diammonium hydrogenorthophosphate (diammonium phosphate),LVC 40% or CTSH
,,3105.4,"- Ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium
 hydrogenorthophosphate (diammonium
 phosphate)",LVC 40% or CTSH
,,,- Other mineral or chemical fertilizers containing the two fertilizing elements nitrogen and phosphorus:,
,,3105.51,-- Containing nitrates and phosphates,LVC 40% or CTSH
,,3105.59,-- Other,LVC 40% or CTSH
,,3105.6,- Mineral or chemical fertilizers containing the two fertilizing elements phosphorus and potassium,LVC 40% or CTSH
,,3105.9,- Other,LVC 40% or CTSH
Chapter 35,,,Albuminoidal substances; modified starches; glues; enzymes,
,35.02,,"Albumins (including concentrates of two or more whey proteins, containing by weight more than 80% whey proteins, calculated on the dry matter), albuminates and other albumin derivatives.",
,,,- Egg albumin:,
,,3502.11,-- Dried,CC except from Chapter 4.
,,3502.19,-- Other,CC except from Chapter 4.
,,3502.2,"- Milk albumin, including concentrates of two or more whey proteins",CTH
,,3502.9,- Other,CTH
,35.03,3503,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or colored) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading 35.01.",CTH
,35.05,,"Dextrins and other modified starches (for example, pregelatinized or esterified starches); glues based on starches, or on dextrins or other modified starches.",CTH
Chapter 38,,,Miscellaneous chemical products,
,38.01,,"Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semi-manufactures.",LVC 40% or CTSH
,38.06,,"Rosin and resin acids, and derivatives",
,,,,
,,,thereof; rosin spirit and rosin oils; run gums.,
,,3806.1,- Rosin and resin acids,LVC 40% or CTSH
,,3806.2,"- Salts of rosin, of resin acids or of derivatives of rosin or resin acids other than salts of rosin adducts",LVC 40% or CTSH
,,3806.9,"- Other
 Note: Other than rosin and resin acids; salts of rosin, of resin acids or of derivatives of rosin or resin acids other than salts of rosin adducts; and ester gums.",LVC 40% or CTSH
,38.09,,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations (for example, dressings and mordants), of a kind used in the textile, paper, leather or like industries, not elsewhere specified or included.",
,,3809.1,- With a basis of amylaceous substances,CTH except from heading 11.08 or 35.05.
,38.24,,"Prepared binders for foundry molds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included.",
,,3824.6,- Sorbitol other than that of subheading 2905.44,CTH except from heading 17.02.
,38.25,,"Residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste; sewage sludge; other wastes specified in Note 6 to this Chapter.",WO
Section VII Plastics and articles thereof; rubber and articles thereof (Chapter 39-40),,,,
Chapter 39,,,Plastics and articles thereof,
,39.15,,"Waste, paring and scrap, of plastics.",WO
,39.23,,"Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics.",LVC 40% or CTSH
,39.24,,"Tableware, kitchenware, other household articles and hygienic or toilet articles, of plastics.",LVC 40% or CTSH
,39.26,,Other articles of plastics and articles of other materials of headings 39.01 to 39.14.,LVC 40% or CTSH
Chapter 40,,,Rubber and articles thereof,
,40.01,,"Natural rubber, balata, gutta-percha,",
,,,,
,,,"guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip.",
,,4001.1,"- Natural rubber latex, whether or not pre-vulcanized",CC
,40.04,4004,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.",WO
,40.12,,"Retreaded or used pneumatic tires of rubber; solid or cushion tires, tire treads and tire flaps, of rubber.",LVC 40% or CTSH
"Section VIII Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut
 (other than silk-worm gut) (Chapter 41-43)",,,,
Chapter 41,,,Raw hides and skins(other than furskins) and leather,CC
Chapter 42,,,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",CC
Chapter 43,,,Furskins and artificial fur; manufactures thereof,CC
"Section IX Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork (Chapter 44-46)",,,,
Chapter 44,,,"Wood and articles of wood; wood
 charcoal",
,44.01,,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms.",CTH
,44.02,,"Wood charcoal (including shell or nut charcoal), whether or not agglomerated.",CTH
,44.03,,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared.",CTH
,44.04,,"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking-sticks, umbrellas, tool handles or the like; chipwood and the like.",CTH
,44.05,4405,Wood wool; wood flour.,CTH
,44.06,,Railway or tramway sleepers (cross-ties) of wood.,CTH
,44.07,,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm.",CTH
,,,,
,,,,
,44.08,,"Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceeding 6 mm.",CTH
,44.09,,"Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, molded, rounded or the like) along any of its edges, ends or faces, whether or not planed, sanded or end-jointed.",CTH
,44.1,,"Particle board, oriented strand board (OSB) and similar board (for example, waferboard) of wood or other ligneous materials, whether or not agglomerated with resins or other organic binding substances.",CTH
,44.11,,"Fiberboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances.",CTH
,44.12,,"Plywood, veneered panels and similar laminated wood.",CTH except from heading 44.07 or 44.08.
,44.13,4413,"Densified wood, in blocks, plates, strips or profile shapes.",CTH
,44.14,4414,"Wooden frames for paintings, photographs, mirrors or similar objects.",CTH
,44.15,,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood.",CTH
,44.16,4416,"Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves.",CTH
,44.17,4417,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood.",CTH
,44.18,,"Builders’ joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",CTH
,44.19,4419,"Tableware and kitchenware, of wood.",CTH
,44.2,,"Wood marquetry and inlaid wood; caskets and cases for jewelry or cutlery, and similar articles, of wood; statuettes and other ornaments, of wood; wooden",CTH
,,,,
,,,articles of furniture not falling in Chapter 94.,
,44.21,,Other articles of wood.,CTH
Chapter 46,,,"Manufactures of straw, of esparto or of other plaiting materials; basketware
 and wickerwork",
,46.01,,"Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not being finished articles (for example, mats, matting, screens).",
,,,"- Mats, matting and screens of vegetablematerials:",
,,4601.21,-- Of bamboo,CC except from Chapter 14.
,,4601.22,-- Of rattan,CC except from Chapter 14.
,,4601.29,-- Other,CC except from Chapter 14.
,,,- Other:,
,,4601.92,-- Of bamboo,CC except from Chapter 14.
,,4601.93,-- Of rattan,CC except from Chapter 14.
,,4601.94,-- Of other vegetable materials,CC except from Chapter 14.
Section X Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof (Chapter 47-49),,,,
Chapter 47,,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,
,47.07,,Recovered (waste and scrap) paper or paperboard.,WO
Section XI Textiles and textile articles (Chapter 50-63)Note: See the note to this section,,,,
Chapter 50,,,Silk,
,50.01,5001,Silk-worm cocoons suitable for reeling.,CC
,50.02,5002,Raw silk (not thrown).,CTH
,50.03,5003,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garneted stock).",CTH
,50.04,5004,Silk yarn (other than yarn spun from silk waste) not put up for retail sale.,CTH
,50.05,5005,"Yarn spun from silk waste, not put up for retail sale.",CTH except from heading 50.06.
,50.06,5006,"Silk yarn and yarn spun from silk waste,",CTH except
,,,,
,,,put up for retail sale; silk-worm gut.,from heading 50.05.
,50.07,,Woven fabrics of silk or of silk waste.,"CTH, provided that, where non-originati ng materials of heading 50.04 through 50.06 are used, each of the non- originating materials is spun, or dyed or printed entirely in either Party or a non-Party which is a Member State of the ASEAN; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of heading 50.07 is woven entirely in either Party or a non-Party which is a Member State of the ASEAN."
Chapter 51,,,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",
,51.01,,"Wool, not carded or combed.",CC
,51.02,,"Fine or coarse animal hair, not carded or combed.",CC
,51.03,,"Waste of wool or of fine or coarse animal hair, including yarn waste but excluding garneted stock.",WO
,51.04,5104,Garneted stock of wool or of fine or coarse animal hair.,CC
,51.05,,"Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments).",CTH
,51.06,,"Yarn of carded wool, not put up for",CTH outside
,,,,
,,,retail sale.,heading 51.06 through 51.10.
,51.07,,"Yarn of combed wool, not put up for retail sale.",
,51.08,,"Yarn of fine animal hair (carded or combed), not put up for retail sale.",
,51.09,,"Yarn of wool or of fine animal hair, put up for retail sale.",
,51.1,5110,"Yarn of coarse animal hair or of horsehair (including gimped horsehair yarn), whether or not put up for retail sale.",
,51.11,,Woven fabrics of carded wool or of carded fine animal hair.,"CTH outside heading 51.11 through 51.13 provided that, where non-originati ng materials of heading 51.06 through 51.10 are used, each of the non- originating materials is spun, or dyed or printed entirely in either Party or a non-Party which is a Member State of the ASEAN; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of heading 51.11 through 51.13 is woven entirely in either Party or a non-Party which is a Member State of the ASEAN."
,51.12,,Woven fabrics of combed wool or of combed fine animal hair.,
,51.13,5113,Woven fabrics of coarse animal hair or of horsehair.,
Chapter 52,,,Cotton,
,,,,
,52.01,5201,"Cotton, not carded or combed.",CC
,52.02,,Cotton waste (including yarn waste and garneted stock).,WO
,52.03,5203,"Cotton, carded or combed.",CC
,52.04,,"Cotton sewing thread, whether or not put up for retail sale.","CTH outside heading 52.04 through 52.07, provided that, where non- originating materials of heading 52.03 are used, each of the non- originating materials is carded or combed entirely in either Party or a non-Party which is a Member State of the ASEAN."
,52.05,,"Cotton yarn (other than sewing thread), containing 85 % or more by weight of cotton, not put up for retail sale.",
,52.06,,"Cotton yarn (other than sewing thread), containing less than 85 % by weight of cotton, not put up for retail sale.",
,52.07,,Cotton yarn (other than sewing thread) put up for retail sale.,
,52.08,,"Woven fabrics of cotton, containing 85 % or more by weight of cotton, weighing not more than 200 g/m2.","CTH outside heading 52.08 through 52.12, provided that, where non- originating materials of heading 52.04 through 52.07 are used, each of the non- originating materials is spun, or dyed or printed entirely in either Party or a non-Party which is a Member State of the ASEANor
 No required CTC, provided that the good is dyed or printed entirely and that the non-"
,52.09,,"Woven fabrics of cotton, containing 85 % or more by weight of cotton, weighing more than 200 g/m2.",
,52.1,,"Woven fabrics of cotton, containing less than 85 % by weight of cotton, mixed mainly or solely with man-made fibers, weighing not more than 200 g/m2.",
,52.11,,"Woven fabrics of cotton, containing less than 85 % by weight of cotton, mixed mainly or solely with man-made fibers, weighing more than 200 g/m2.",
,52.12,,Other woven fabrics of cotton.,
,,,,
,,,,originating material of heading 52.08 through 52.12 is woven entirely in either Party or a non-Party which is a Member State of the ASEAN.
Chapter 53,,,Other vegetable textile fibers; paper yarn and woven fabrics of paper yarn,
,53.01,,"Flax, raw or processed but not spun; flax tow and waste (including yarn waste and garneted stock).",CC
,53.02,,"True hemp (Cannabis sativa L.), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garneted stock).",CC
,53.03,,"Jute and other textile bast fibers (excluding flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibers (including yarn waste and garneted stock).",CC
,53.05,5305,"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie and other vegetable textile fibers, not elsewhere specified or included, raw or processed but not spun; tow, noils and waste of these fibers (including yarn waste and garneted stock).",CC
,53.06,,Flax yarn.,CTH outside heading 53.06 through 53.08.
,53.07,,Yarn of jute or of other textile bast fibers of heading 53.03.,
,53.08,,Yarn of other vegetable textile fibers; paper yarn.,
,53.09,,Woven fabrics of flax.,"CTH outside heading 53.09 through 53.11, provided that, where non- originating materials of heading 53.06 through 53.08 are used, each of the non- originating materials is spun, or dyed or printed entirely in"
,53.1,,Woven fabrics of jute or of other textile bast fibers of heading 53.03.,
,53.11,5311,Woven fabrics of other vegetable textile fibers; woven fabrics of paper yarn.,
,,,,
,,,,"either Party or a non-Party which is a Member State of the ASEAN; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of heading 53.09 through 53.11 is woven entirely in either Party or a non-Party which is a Member State of the ASEAN."
Chapter 54,,,Man-made filaments; strip and the like of man-made textile materials,
,54.01,,"Sewing thread of man-made filaments, whether or not put up for retail sale.",CC
,54.02,,"Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than 67 decitex.",CC
,54.03,,"Artificial filament yarn (other than sewing thread), not put up for retail sale, including artificial monofilament of less than 67 decitex.",CC
,54.04,,"Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5 mm.",CC
,54.05,5405,"Artificial monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of artificial textile materials of an apparent width not exceeding 5 mm.",CC
,54.06,5406,"Man-made filament yarn (other than sewing thread), put up for retail sale.",CC
,54.07,,"Woven fabrics of synthetic filament yarn, including woven fabrics obtained from materials of heading 54.04.","CTH outside heading 54.07 or 54.08,"
,,,,
,54.08,,"Woven fabrics of artificial filament yarn, including woven fabrics obtained from materials of heading 54.05.","provided that, where non- originating materials of heading 54.01 through 54.06 are used, each of the non- originating materials is spun, or dyed or printed entirely in either Party or a non-Party which is a Member State of the ASEAN; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of heading 54.07 or54.08 is woven entirely in either Party or a non-Party which is a Member State of the ASEAN."
Chapter 55,,,Man-made staple fibers,
,55.01,,Synthetic filament tow.,CC except from heading 54.01 through 54.06.
,55.02,5502,Artificial filament tow.,
,55.03,,"Synthetic staple fibers, not carded, combed or otherwise processed for spinning.",
,55.04,,"Artificial staple fibers, not carded, combed or otherwise processed for spinning.",
,55.05,,"Waste (including noils, yarn waste and garneted stock) of man-made fibers.",
,55.06,,"Synthetic staple fibers, carded, combed or otherwise processed for spinning.",
,55.07,5507,"Artificial staple fibers, carded, combed or otherwise processed for",
,,,,
,,,spinning.,
,55.08,,"Sewing thread of man-made staple fibers, whether or not put up for retail sale.","CTH outside heading 55.08 through 55.11, provided that, where non- originating materials of heading 55.06 or 55.07 are used, each of the non- originating materials is carded or combed entirely in either Party or a non-Party which is a Member State of the ASEAN."
,55.09,,"Yarn (other than sewing thread) of synthetic staple fibers, not put up for retail sale.",
,55.1,,"Yarn (other than sewing thread) of artificial staple fibers, not put up for retail sale.",
,55.11,,"Yarn (other than sewing thread) of man-made staple fibers, put up for retail sale.",
,55.12,,"Woven fabrics of synthetic staple fibers, containing 85 % or more by weight of synthetic staple fibers.","CTH outside heading 55.12 through 55.16, provided that, where non- originating materials of heading 55.08 through 55.11 are used, each of the non- originating materials is spun, or dyed or printed entirely in either Party or a non-Party which is a Member State of the ASEAN; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of"
,55.13,,"Woven fabrics of synthetic staple fibers, containing less than 85 % by weight of such fibers, mixed mainly or solely with cotton, of a weight not exceeding 170 g/m２.",
