Tariff item number,,,Description of goods,Product specific rules
,51.11,,Woven fabrics of carded wool or of carded fine animal hair.,"CTH outside heading 51.11 through 51.13 provided that, where non- originating materials of heading 51.06 through 51.10 are used, each of the non- originating materials is spun, or dyed or printed entirely in one or more of the Parties; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of heading 51.11 through 51.13 is woven entirely in one or more of the Parties."
,51.12,,Woven fabrics of combed wool or of combed fine animal hair.,
,51.13,5113,Woven fabrics of coarse animal hair or of horsehair.,
Chapter 52,,,Cotton,
,52.01,5201,"Cotton, not carded or combed.",CC
,52.02,,Cotton waste (including yarn waste and garnetted stock).,CC
,52.03,5203,"Cotton, carded or combed.",CC
,52.04,,"Cotton sewing thread, whether or not put up for retail sale.","CTH outside heading 52.04 through 52.07, provided that, where non- originating"
,52.05,,"Cotton yarn (other than sewing thread), containing 85% or more by weight of cotton, not put up for retail sale.",
,52.06,,"Cotton yarn (other than sewing thread),",
,,,,
,,,"containing less than 85% by weight of cotton, not put up for retail sale.","materials of heading 52.03 are used, each of the non- originating materials is carded or combed entirely in one or more of the Parties."
,52.07,,Cotton yarn (other than sewing thread) put up for retail sale.,
,52.08,,"Woven fabrics of cotton, containing 85% or more by weight of cotton, weighing not more than 200 g/m2.","CTH outside heading 52.08 through 52.12, provided that, where non- originating materials of heading 52.04 through 52.07 are used, each of the non- originating materials is spun, or dyed or printed entirely in one or more of the Parties; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of heading 52.08 through 52.12 is woven entirely in one or more of the Parties."
,52.09,,"Woven fabrics of cotton, containing 85% or more by weight of cotton, weighing more than 200 g/m2.",
,52.1,,"Woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing not more than 200 g/m2.",
,52.11,,"Woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200 g/m2.",
,52.12,,Other woven fabrics of cotton.,
Chapter 53,,,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,
,53.01,,"Flax, raw or processed but not spun; flax tow and waste (including yarn waste and garnetted stock).",CC
,53.02,,"True hemp (Cannabis sativa L.), raw or processed but not spun; tow and waste of true hemp (including yarn waste and",CC
,,,,
,,,garnetted stock).,
,53.03,,"Jute and other textile bast fibres (excluding flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibres (including yarn waste and garnetted stock).",CC
,53.04,,"Sisal and other textile fibres of the genus Agave, raw or processed but not spun; tow and waste of these fibres (including yarn waste and garnetted stock).",CC
,53.05,,"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie and other vegetable textile fibres, not elsewhere specified or included, raw or processed but not spun; tow, noils and waste of these fibres (including yarn waste and garnetted stock).",CC
,53.06,,Flax yarn.,CTH outside heading 53.06 through 53.08.
,53.07,,Yarn of jute or of other textile bast fibres of heading 53.03.,
,53.08,,Yarn of other vegetable textile fibres; paper yarn.,
,53.09,,Woven fabrics of flax.,"CTH outside heading 53.09 through 53.11, provided that, where non- originating materials of heading 53.06 through 53.08 are used, each of the non- originating materials is spun, or dyed or printed entirely in one or more of the Parties; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of heading 53.09 through 53.11"
,53.1,,Woven fabrics of jute or of other textile bast fibres of heading 53.03.,
,53.11,5311,Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn.,
,,,,
,,,,is woven entirely in one or more of the Parties.
Chapter 54,,,Man-made filaments,
,54.01,,"Sewing thread of man-made filaments, whether or not put up for retail sale.",CC
,54.02,,"Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than 67 decitex.",CC
,54.03,,"Artificial filament yarn (other than sewing thread), not put up for retail sale, including artificial monofilament of less than 67 decitex.",CC
,54.04,,"Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5mm.",CC
,54.05,5405,"Artificial monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of artificial textile materials of an apparent width not exceeding 5mm.",CC
,54.06,,"Man-made filament yarn (other than sewing thread), put up for retail sale.",CC
,54.07,,"Woven fabrics of synthetic filament yarn, including woven fabrics obtained from materials of heading 54.04.","CTH outside heading 54.07 through 54.08, provided that, where non- originating materials of heading 54.01 through 54.06 are used, each of the non- originating materials is spun, or dyed or printed entirely in one or more of the Parties; or
 No required CTC, provided that the good is dyed or printed"
,54.08,,"Woven fabrics of artificial filament yarn, including woven fabrics obtained from materials of heading 54.05.",
,,,,
,,,,entirely and that the nonoriginating material of heading 54.07 through 54.08 is woven entirely in one or more of the Parties.
Chapter 55,,,Man-made staple fibres,
,55.01,,Synthetic filament tow.,CC except from heading 54.01 through 54.06.
,55.02,5502,Artificial filament tow.,CC except from heading 54.01 through 54.06.
,55.03,,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning.",CC except from heading 54.01 through 54.06.
,55.04,,"Artificial staple fibres, not carded, combed or otherwise processed for spinning.",CC except from heading 54.01 through 54.06.
,55.05,,"Waste (including noils, yarn waste and garnetted stock) of man-made fibres.",CC except from heading 54.01 through 54.06.
,55.06,,"Synthetic staple fibres, carded, combed or otherwise processed for spinning.",CC except from heading 54.01 through 54.06.
,55.07,5507,"Artificial staple fibres, carded, combed or otherwise processed for spinning.",CC except from heading 54.01 through 54.06.
,55.08,,"Sewing thread of man-made staple fibres, whether or not put up for retail sale.","CTH outside heading 55.08 through 55.11, provided that, where non- originating materials of heading 55.06 through 55.07 are used, each of the non- originating materials is carded or combed entirely in one or more of the Parties."
,55.09,,"Yarn (other than sewing thread) of synthetic staple fibres, not put up for retail sale.",
,55.1,,"Yarn (other than sewing thread) of artificial staple fibres, not put up for retail sale.",
,55.11,,"Yarn (other than sewing thread) of man-made staple fibres, put up for retail sale.",
,55.12,,"Woven fabrics of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres.","CTH outside heading 55.12 through 55.16,"
,,,,
,55.13,,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m２.","provided that, where non- originating materials of heading 55.08 through 55.11 are used, each of the non- originating materials is spun, or dyed or printed entirely in one or more of the Parties; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of heading 55.12 through 55.16 is woven entirely in one or more of the Parties."
,55.14,,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight exceeding 170g/m２.",
,55.15,,Other woven fabrics of synthetic staple fibres.,
,55.16,,Woven fabrics of artificial staple fibres.,
Chapter 56,,,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables
 and articles thereof",
,56.01,,"Wadding of textile materials and articles thereof; textile fibres, not exceeding 5mm in length (flock), textile dust and mill neps.","CC except from heading 50.04 through 50.07, 51.06 through
 51.13, 52.04 through 52.12, 53.06 through
 53.11, 55.08 through 55.16 or chapter 54."
,56.02,,"Felt, whether or not impregnated, coated, covered or laminated.","CC except from heading 50.04 through 50.07, 51.06 through
 51.13, 52.04 through 52.12, 53.06 through
 53.11, 55.08 through 55.16"
,,,,
,,,,or chapter 54.
,56.03,,"Nonwovens, whether or not impregnated, coated, covered or laminated.",CC except from heading 55.08 through 55.16.
,56.04,,"Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading 54.04 or 54.05, impregnated, coated, covered or sheathed with rubber or plastics.","CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,56.05,5605,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading 54.04 or 54.05, combined with metal in the form of thread, strip or powder or covered with metal.","CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,56.06,5606,"Gimped yarn, and strip and the like of heading 54.04 or 54.05, gimped (other than those of heading 56.05 and gimped","CC, provided that, where non-"
,,,,
,,,horsehair yarn); chenille yarn (including flock chenille yarn); loop wale-yarn.,"originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,56.07,,"Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics.","CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,56.08,,"Knotted netting of twine, cordage or rope; made up fishing nets and other made up nets, of textile materials.","CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07,"
,,,,
,,,,"53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,56.09,5609,"Articles of yarn, strip or the like of heading 54.04 or 54.05, twine, cordage, rope or cables, not elsewhere specified or included.","CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
Chapter 57,,,Carpets and other textile floor coverings,"CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06,"
,,,,
,,,,"51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
Chapter 58,,,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,"CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
Chapter 59,,,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for
 industrial use",
,59.01,,"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like; tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through"
,,,,
,,,,55.16.
,59.02,,"Tyre cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or viscose rayon.","CTH, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,59.03,,"Textile fabrics impregnated, coated, covered or laminated with plastics, other than those of heading 59.02.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04"
,,,,
,,,,"through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,59.04,,"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,59.05,5905,Textile wall coverings.,"CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09"
,,,,
,,,,"through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,59.06,,"Rubberised textile fabrics, other than those of heading 59.02.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each"
,,,,
,,,,"of the non- originating materials is spun entirely in one or more of the
 Parties."
,59.07,5907,"Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio back-cloths or the like.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,59.08,5908,"Textile wicks, woven, plaited or knitted, for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas mantle fabric therefor, whether or not impregnated.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non-"
,,,,
,,,,"originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,59.09,5909,"Textile hosepiping and similar textile tubing, with or without lining, armour or accessories of other materials.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,,,,
,59.1,5910,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material.","CTH, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
,59.11,,"Textile products and articles, for technical uses, specified in Note 7 to this Chapter.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07,"
,,,,
,,,,"53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in one or more of the
 Parties."
Chapter 60,,,Knitted or crocheted fabrics,"CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun, or dyed or printed entirely in one or more of the Parties; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of chapter 60 is knitted or crocheted entirely in one or more of the Parties."
,,,,
Chapter 61,,,"Articles of apparel and clothing accessories, knitted or crocheted","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08. 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is knitted or crocheted entirely in one or more of the Parties."
Chapter 62,,,"Articles of apparel and clothing accessories, not knitted or crocheted",
,62.01,,"Men’s or boys’ overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.02,,"Women’s or girls’ overcoats, car-coats, capes, cloaks, anoraks
 (including ski-jackets),","CC, provided that, where non-"
,,,,
,,,"wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04.","originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.03,,"Men’s or boys’ suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts
 (other than swimwear).","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.04,,"Women’s or girls’ suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through"
,,,,
,,,,"53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.05,,Men’s or boys’ shirts.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.06,,"Women’s or girls’ blouses, shirts and shirt-blouses.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non-"
,,,,
,,,,"originating materials is woven entirely in one or more of the
 Parties."
,62.07,,"Men’s or boys’ singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.08,,"Women’s or girls’ singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés,bathrobes, dressing gowns and similar articles.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,,,,
,62.09,,Babies’ garments and clothing accessories.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.1,,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.11,,"Track suits, ski suits and swimwear; other garments.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through"
,,,,
,,,,"51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.12,,"Brassières, girdles, corsets, braces,suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted.","CC, provided that, where non- originating materials of heading50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08,
 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,,,,
,62.13,,Handkerchiefs.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.14,,"Shawls, scarves, mufflers, mantillas, veils and the like.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.15,,"Ties, bow ties and cravats.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through"
,,,,
,,,,"51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.16,6216,"Gloves, mittens and mitts.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,,,,
,62.17,,"Other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading 62.12.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
Chapter 63,,,"Other made up textile articles; sets; worn clothing and worn textile
 articles; rags",
,63.01,,Blankets and traveling rugs.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.02,,"Bed linen, table linen, toilet linen and kitchen linen.","CC, provided that, where"
,,,,
,,,,"non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.03,,Curtains (including drapes) and interior blinds; curtain or bed valances.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.04,,"Other furnishing articles, excluding those of heading 94.04.","CC, provided that, where non- originating materials of"
,,,,
,,,,"heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.05,,"Sacks and bags, of a kind used for the packing of goods.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.06,,"Tarpaulins, awnings and sunblinds; tents; sails for boats, sailboards or landcraft; camping goods.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08"
,,,,
,,,,"through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.07,,"Other made up articles, including dress patterns.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.08,6308,"Sets consisting of woven fabric and yarn, whether or not with accessories, for making up into rugs, tapestries,
 embroidered table cloths or serviettes, or similar textile articles, put up in packings for retail sale.","CC, provided that, where non-originati ng materials of heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11, 54.07 through"
,,,,
,,,,"54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.09,6309,Worn clothing and other worn articles.,WO
,63.1,,"Used or new rags, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials.",WO
"Section XII Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair (chapter 64-67)",,,,
Chapter 64,,,"Footwear, gaiters and the like; parts of such articles",CC
Chapter 65,,,Headgear and parts thereof,
,65.01,6501,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt.",CC
,65.02,6502,"Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed.",CC
,65.03,6503,"Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading 65.01, whether or not lined or trimmed.",CTH
,65.04,6504,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed.",CTH
,65.05,,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed.",CTH
,65.06,,"Other headgear, whether or not lined or trimmed.",CTH
,65.07,6507,"Head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for head-gear.",CTH
,,,,
"Section XIII Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware (chapter 68-70)",,,,
Chapter 70,,,Glass and glassware,
,70.18,,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares, and articles thereof other than imitation jewellery; glass eyes other than prosthetic articles; statuettes and other ornaments of lamp-worked glass, other than imitation jewellery; glass microspheres not exceeding 1 mm in diameter.",
,,7018.1,"- Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares",CC
,,7018.9,"- Other
 Note: Other than glass beads, imitation pearls, imitation precious or semi-precious stones, similar glass smallwares and glass microspheres not exceeding 1 mm in diameter.",CC
"Section XIV Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin (chapter 71)",,,,
Chapter 71,,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",
,71.01,,"Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for convenience of transport.",CC
,71.03,,"Precious stones (other than diamonds) and semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones, temporarily strung for convenience of transport.",CC
,71.13,,"Articles of jewellery and parts thereof, of precious metal or of metal clad with precious metal.",CC
,71.14,,"Articles of goldsmiths' or
 silversmiths’ wares and parts thereof, of precious metal or of metal clad with precious metal.",CC
,71.15,,Other articles of precious metal or of metal clad with precious metal.,CC
,71.16,,"Articles of natural or cultured pearls,",CC
,,,,
,,,"precious or semi-precious stones (natural, synthetic or reconstructed).",
