Tier,ProductCode,Product Description
2,3211,Prepared driers
3,321100,Prepared driers
2,3212,Pigments used for paint making; stamping foils;
3,321210,Stamping foils
3,321290,"Pigments in non-aqueous media, nes, for retail"
2,3213,"Artists', students' or signboard painters' colo"
3,321310,Colours in sets
3,321390,"Artists', students' or signboard painters' colo"
2,3214,"Glaziers putty, etc; painters' fillings; non-re"
3,321410,Mastics and painters fillings
3,321490,"Glaziers putty, etc, non-refractory surfacing p"
2,3215,"Printing ink, writing or drawing ink and other"
3,321511,"Black printing ink, whether or not concentrated"
3,321519,"Printing ink, whether or not concentrated or so"
3,321590,"Other ink, whether or not concentrated or solid"
1,33,"Essential oils & resinoids; perf,  cosmetic/toi"
2,3301,Essential oils...; resinoids; concentrates... a
3,330111,Essential oils of bergamot (incl. concretes and
3,330112,Essential oils of orange (incl. concretes and a
3,330113,Essential oils of lemon (incl. concretes and ab
3,330114,Essential oils of lime (incl. concretes and abs
3,330119,Essential oils of citrus fruit (incl. concretes
3,330121,Essential oils of geranium (incl. concretes and
3,330122,Essential oils of jasmin (incl. concretes and a
3,330123,Essential oils of lavender or lavandin (incl. c
3,330124,Essential oils of peppermint (incl. concretes a
3,330125,Essential oils of mints (incl. concretes and ab
3,330126,Essential oils of vetiver (incl. concretes and
3,330129,"Essential oils (incl. concretes and absolutes),"
3,330130,Resinoids
3,330190,Concentrates of essential oils in fats... aqueo
2,3302,Mixtures of odoriferous substances used as raw
3,330210,"Mixtures of odoriferous substances, for the foo"
3,330290,"Mixtures of odoriferous substances, as raw mate"
2,3303,Perfumes and toilet waters
3,330300,Perfumes and toilet waters
2,3304,"Beauty, make-up, skin-care (incl. suntan), mani"
3,330410,Lip make-up preparations
3,330420,Eye make-up preparations
3,330430,Manicure or pedicure preparations
3,330491,"Powders, whether or not compressed, for cosmeti"
3,330499,"Beauty, make-up, skin-care (incl. suntan), nes"
2,3305,Preparations for use on the hair
3,330510,Shampoos
3,330520,Preparations for permanent waving or straighten
3,330530,Hair lacquers
3,330590,"Preparations for use on the hair, nes"
2,3306,Preparations for oral or dental hygiene (incl.
3,330610,Dentifrices
3,330690,Preparations for oral or dental hygiene (incl.
2,3307,"Shaving preparations, personal deodorants, etc,"
3,330710,"Pre-shave, shaving or after-shave preparations"
3,330720,Personal deodorants and antiperspirants
3,330730,Perfumed bath salts and other bath preparations
3,330741,Agarbatti and other odiferous preparations whic
3,330749,"Preparations for deodorizing rooms, nes"
3,330790,"Other perfumery, cosmetic or toilet preparation"
1,34,"Soap, organic surface-active agents,  washing p"
2,3401,"Soap; organic surface-active products in bars,"
3,340111,Soap and organic surface-active products in bar
3,340119,Soap and organic surface-active products in bar
3,340120,"Soap in other forms, nes"
2,3402,Non-soap surface-active agents; washing prepara
3,340211,"Anionic surface-active agents, (excl. soap)"
3,340212,"Cationic surface-active agents, (excl. soap)"
3,340213,"Non-ionic surface-active agents, (excl. soap)"
3,340219,"Organic surface-active agents, (excl. soap), ne"
3,340220,"Washing and cleaning preparations, put up for r"
3,340290,"Washing and cleaning preparations, not put up f"
2,3403,"Lubricating preparations, etc (excl. those of >"
3,340311,Lubricat.prep.for the treatment of textile mat.
3,340319,"Other lubricating preparations, with <70% petro"
3,340391,Lubricating prep.for the treatment of textiles
3,340399,"Other lubricating preparations, nes"
2,3404,Artificial waxes and prepared waxes
3,340410,Artificial waxes of chemically modified lignite
3,340420,Artificial waxes of polyethylene glycol
3,340490,"Artificial waxes and prepared waxes, nes"
2,3405,"Polishes and creams, etc, for footwear, etc, ex"
3,340510,"Polishes, creams and similar preparations for f"
3,340520,"Polishes, creams and similar preparations for m"
3,340530,Polishes and similar preparations for coachwork
3,340540,Scouring pastes and powders and other scouring
3,340590,"Other polishes, creams and similar preparations"
2,3406,"Candles, tapers and the like"
3,340600,"Candles, tapers and the like"
2,3407,Modelling pastes; dental wax and impression com
3,340700,Modelling pastes; dental wax and impression com
1,35,Albuminoidal subs; modified starches;  glues; e
2,3501,"Casein, caseinates and other casein derivatives"
3,350110,Casein
3,350190,Caseinates and other casein derivatives; casein
2,3502,"Albumins, albuminates and other albumin derivat"
3,350210,Egg albumin
3,350290,"Albumins (excl. egg albumin), albuminates and o"
2,3503,Gelatin and derivatives; isinglass; glues of an
3,350300,Gelatin and derivatives; isinglass; glues of an
2,3504,"Peptones/protein substances and derivatives, ne"
3,350400,"Peptones/protein substances and derivatives, ne"
2,3505,Dextrins and other modified starches; glues bas
3,350510,Dextrins and other modified starches
3,350520,"Glues based on starches, dextrins or other modi"
2,3506,"Prepared glues and adhesives, nes; products as"
3,350610,Products put up as glues or adhesives for retai
3,350691,Adhesives based on rubber or plastic (incl. art
3,350699,"Prepared glues and other prepared adhesives, ne"
2,3507,Enzymes; prepared enzymes (not elsewhere specif
3,350710,Rennet and concentrates thereof
3,350790,Enzymes; prepared enzymes (not elsewhere specif
1,36,Explosives; pyrotechnic prod; matches;  pyrop a
2,3601,Propellent powders
3,360100,Propellent powders
2,3602,"Prepared explosives, (excl. propellent powders)"
3,360200,"Prepared explosives, (excl. propellent powders)"
2,3603,Safety fuses; detonating fuses; caps; igniters;
3,360300,Safety fuses; detonating fuses; caps; igniters;
2,3604,"Fireworks, signalling flares... and other pyrot"
3,360410,Fireworks
3,360490,Signalling flares... and other pyrotechnic arti
2,3605,Matches (excl. pyrotechnic articles of 36.04)
3,360500,Matches (excl. pyrotechnic articles of 36.04)
2,3606,"Ferro-cerium, pyrophoric alloys; articles of co"
3,360610,"Liquid or liquefied-gas fuels in containers, fo"
3,360690,"Ferro-cerium, pyrophoric alloys; articles of co"
1,37,Photographic or cinematographic goods.
2,3701,"Photographic plates..., instant print flat film"
3,370110,"Photographic plates... for X-ray, in the flat,"
3,370120,"Instant print flat film, unexposed"
3,370130,"Plates and film, in the flat with any side >255"
3,370191,"Photographic plates..., in the flat for colour"
3,370199,"Photographic plates and film, in the flat (excl"
2,3702,"Photographic film in rolls, instant print film"
3,370210,"Photographic film in rolls, for X-ray, unexpose"
3,370220,"Instant print film in rolls, unexposed"
3,370231,"Polychrome film, in rolls, non-perforated, of w"
3,370232,"Film, in rolls, non-perforated, with silver..."
3,370239,"Film, in rolls, non-perforated, of width =<105m"
3,370241,"Polychrome film, in rolls, non-perforated, widt"
3,370242,"Film, in rolls, non-perforated, width >610mm le"
3,370243,"Film, in rolls, non-perforated, width >610mm an"
3,370244,"Film, in rolls, non-perforated, width >105mm bu"
3,370251,"Polychrome film, in rolls, width =<16mm and len"
3,370252,"Polychrome film, in rolls, width =<16mm and len"
3,370253,"Polychrome slide film, in rolls, width >16mm bu"
3,370254,"Polychrome film, in rolls, width >16mm but =<35"
3,370255,"Polychrome film, in rolls, width >16mm but =<35"
3,370256,"Polychrome film, in rolls, width >35mm"
3,370291,"Film, in rolls, width =<16mm and length =<14m ("
3,370292,"Film, in rolls, width =<16mm and length >14m (e"
3,370293,"Film, in rolls, width >16mm but =<35mm and leng"
3,370294,"Film, in rolls, width >16mm but =<35mm and leng"
3,370295,"Film, in rolls, width >35mm (excl. colour)"
2,3703,"Photographic paper, paperboard and textilles, u"
3,370310,"Photographic paper, paperboard and textilles, i"
3,370320,"Photographic paper, paperboard and textilles fo"
3,370390,"Photographic paper, paperboard and textilles, n"
2,3704,"Photographic plates, film, paper..., exposed bu"
3,370400,"Photographic plates, film, paper..., exposed bu"
2,3705,"Photographic plates...,exposed and developed,ex"
3,370510,"Photographic plates..., exposed and developed,"
3,370520,"Microfilms, exposed and developed"
3,370590,"Photographic plates..., exposed and developed,"
2,3706,"Cinematographic film, exposed and developed"
3,370610,"Cinematographic film, exposed and developed, wi"
3,370690,"Cinematographic film, exposed and developed, wi"
2,3707,Chemical preparations for photographic uses
3,370710,Sensitising emulsions for photographic uses
3,370790,"Chemical preparations for photograpic use, nes"
1,38,Miscellaneous chemical products.
2,3801,Artificial graphite; colloidal or semi-colloida
3,380110,Artificial graphite
3,380120,Colloidal graphite or semi-colloidal graphite
3,380130,Carbonaceous pastes for electrodes and pastes f
3,380190,Preparations based on graphite or carbon in the
2,3802,Activated carbon; activated natural mineral pro
3,380210,Activated carbon
3,380290,Activated natural mineral products; animal blac
2,3803,"Tall oil, whether or not refined"
3,380300,"Tall oil, whether or not refined"
2,3804,Residual lyes from the manufacture of wood pulp
3,380400,Residual lyes from the manufacture of wood pulp
2,3805,"Gum, wood or sulphate turpentine... oils; crude"
3,380510,"Gum, wood or sulphate turpentine oils"
3,380520,Pine oil containing alpha-terpined as the main
3,380590,"Other turpenic oils, nes; crude dipentene, etc"
2,3806,Rosin and resin acids and derivatives; rosin sp
3,380610,Rosin and resin acids
3,380620,Salts of rosin or of resin acids
3,380630,Ester gums
3,380690,"Derivatives of rosin and resin acids, nes; rosi"
2,3807,Wood tar; wood tar oils; wood creosote; wood na
3,380700,Wood tar; wood tar oils; wood creosote; wood na
2,3808,"Insecticides, rodenticides... and similar produ"
3,380810,"Insecticides, put up for retail sale"
3,380820,"Fungicides, put up for retail sale"
3,380830,"Herbicides, anti-sprouting products and plant g"
3,380840,"Disinfectants, put up for retail sale"
3,380890,"Rodenticides and similar products, put up for r"
2,3809,"Finishing agents, dye carriers..., etc, used in"
3,380910,"Finishing agents, etc, with amylaceous basis"
3,380991,"Finishing agents, etc, of a kind used in the te"
3,380992,"Finishing agents, etc, of a kind used in the pa"
3,380993,"Finishing agents, etc, of a kind used in the le"
3,380999,-- Extra addition --
2,3810,Pickling preparations for metal surfaces; solde
3,381010,Pickling preparations for metal surfaces; solde
3,381090,"Preparations such as fluxes for soldering..., e"
2,3811,"Anti-knock preparations, oxidation inhibitors.."
3,381111,Anti-knock preparations based on lead compounds
3,381119,Anti-knock preparations (excl. based on lead)
3,381121,Additives for lubricating oils with petroleum o
3,381129,Additives for lubricating oils (excl. with petr
3,381190,Other additives other than for lubricating oils
2,3812,"Rubber accelerators; plasticisers, nes; anti-ox"
3,381210,Prepared rubber accelerators
3,381220,"Compound plasticisers for rubber or plastics, n"
3,381230,Anti-oxidising preparations and stabilisers for
2,3813,Preparations for fire-extinguishers; charged fi
3,381300,Preparations for fire-extinguishers; charged fi
2,3814,"Organic composite solvents and thinners, nes; p"
3,381400,"Organic composite solvents and thinners, nes; p"
2,3815,"Reaction initiators, accelerators and catalytic"
3,381511,Supported catalysts with nickel or its compound
3,381512,Supported catalysts with precious metal or its
3,381519,"Supported catalysts, nes"
3,381590,"Reaction initiators, accelerators and catalytic"
2,3816,"Refractory cements, mortars, concretes and simi"
3,381600,"Refractory cements, mortars, concretes and simi"
2,3817,Mixed alkylbenzenes and mixed alkylnaphthalenes
3,381710,"Mixed alkylbenzenes, nes"
3,381720,"Mixed alkylnaphthalenes, nes"
2,3818,"Chemical elements in disk form and compounds, d"
3,381800,"Chemical elements in disk form and compounds, d"
2,3819,Hydraulic brake fluids and similar liquids with
3,381900,Hydraulic brake fluids and similar liquids with
2,3820,Anti-freezing preparations and prepared de-icin
3,382000,Anti-freezing preparations and prepared de-icin
2,3821,Prepared culture media for development of micro
3,382100,Prepared culture media for development of micro
2,3822,"Composite diagnostic or laboratory reagents, ne"
3,382200,"Composite diagnostic or laboratory reagents, ne"
2,3823,"Prepared binders; chemical products, nes; resid"
3,382310,Prepared binders for foundry moulds or cores
3,382320,"Naphthenic acids, their water-insoluble salts a"
3,382330,Non-agglomerated metal carbides mixed together
3,382340,"Prepared additives for cements, mortars or conc"
3,382350,Non-refractory mortars and concretes
3,382360,Sorbitol (excl. that of 2905.44)
3,382390,Chemical products and residual products of chem
1,39,Plastics and articles thereof.
2,3901,"Polymers of ethylene, in primary forms"
3,390110,"Polyethylene having a specific gravity <0.94, i"
3,390120,"Polyethylene having a specific gravity >=0.94,"
3,390130,"Ethylene-vinyl acetate copolymers, in primary f"
3,390190,"Other polymers of ethylene, in primary forms, n"
2,3902,"Polymers of propylene or of other olefins, in p"
3,390210,"Polypropylene, in primary forms"
3,390220,"Polyisobutylene, in primary forms"
3,390230,"Propylene copolymers, in primary forms"
3,390290,"Other polymers of propylene or other olefins, i"
2,3903,"Polymers of styrene, in primary forms"
3,390311,"Expansible polystyrene, in primary forms"
3,390319,"Polystyrene (excl. expansible), in primary form"
3,390320,"Styrene-acrylonitrile (SAN) copolymers, in prim"
3,390330,Acrylonitrile-butadiene-styrene (ABS) copolymer
3,390390,"Polymers of styrene, in primary forms, nes"
2,3904,Polymers of vinyl chloride and halogenated olef
3,390410,"Polyvinyl chloride, not mixed with other substa"
3,390421,"Non-plasticised polyvinyl chloride mixed, in pr"
3,390422,"Plasticised polyvinyl chloride mixed, in primar"
3,390430,"Vinyl chloride-vinyl acetate copolymers, in pri"
3,390440,"Vinyl chloride copolymers (excl. acetate), in p"
3,390450,"Vinylidene chloride polymers, in primary forms"
3,390461,"Polytetrafluoroethylene, in primary forms"
3,390469,Fluoro-polymers (excl. polytetrafluoroethylene)
3,390490,"Polymers of halogenated olefins, in primary for"
2,3905,"Polymers of vinyl esters; other vinyl polymers,"
3,390511,"Polymers of vinyl acetate, in aqueous dispersio"
3,390519,Polymers of vinyl acetate (excl. aqueous disper
3,390520,"Polyvinyl alcohols, in primary forms"
3,390590,"Polymers of vinyl esters or vinyl polymers, nes"
2,3906,Acrylic polymers in primary forms
3,390610,"Polymethyl methacrylate, in primary forms"
3,390690,"Acrylic polymers prepared,in primary forms, nes"
2,3907,"Polyethers and epoxide resins; polyesters, in p"
3,390710,"Polyacetals, in primary forms"
3,390720,"Other polyethers, in primary forms, nes"
3,390730,"Epoxide resins, in primary forms"
3,390740,"Polycarbonates, in primary forms"
3,390750,"Alkyd resins, in primary forms"
3,390760,"Polyethylene terephthalate, in primary forms"
3,390791,"Unsaturated polyesters, in primary forms, nes"
3,390799,"Polyesters, in primary forms, nes"
2,3908,Polyamides in primary forms
3,390810,"Polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6"
3,390890,"Other polymides, in primary forms, nes"
2,3909,"Amino-resins, phenolic resins and polyurethanes"
3,390910,"Urea resins; thiourea resins, in primary forms"
3,390920,"Melamine resins, in primary forms"
3,390930,"Other amino resins, in primary forms, nes"
3,390940,"Phenolic resins, in primary forms"
3,390950,"Polyurethanes, in primary forms"
2,3910,Silicones in primary forms
3,391000,Silicones in primary forms
2,3911,"Petroleum resins..., polysulphides..., etc, in"
3,391110,Petroleum resins... other resins and polyterpen
3,391190,"Polysulphides, polysulphones and other products"
2,3912,"Cellulose and its chemical derivatives, nes, in"
3,391211,"Non-plasticised cellulose acetates, in primary"
3,391212,"Plasticised cellulose acetates, in primary form"
3,391220,"Cellulose nitrates (incl. collodions), in prima"
3,391231,"Carboxymethylcellulose and its salts, in primar"
3,391239,"Other cellulose ethers, in primary forms, nes"
3,391290,"Cellulose and its chemical derivatives, in prim"
2,3913,"Natural polymers and modified natural polymers,"
3,391310,"Alginic acid, its salts and esters, in primary"
3,391390,"Natural and modified natural polymers, in prima"
2,3914,Ion-exchangers based on polymers of 39.01 to 39
3,391400,Ion-exchangers based on polymers of 39.01 to 39
2,3915,"Waste, parings and scrap, of plastics"
3,391510,"Waste, parings and scrap, of polymers of ethyle"
3,391520,"Waste, parings and scrap, of polymers of styren"
3,391530,"Waste, parings and scrap, of polymers of vinyl"
3,391590,"Waste, parings and scrap, of other plastics, ne"
2,3916,"Monofilament >1mm, rods, sticks and profile sha"
3,391610,"Monofilament >1mm, rods... and profile shapes,"
3,391620,"Monofilament >1mm, rods..., etc, of polymers of"
3,391690,"Monofilament >1mm, rods... and profile shapes,"
2,3917,"Tubes, pipes and hoses, and fittings therefor,"
3,391710,Artificial guts of hardened proteins or cellulo
3,391721,"Tubes, pipes and hoses, rigid, of polymers of e"
3,391722,"Tubes, pipes and hoses, rigid, of polymers of p"
3,391723,"Tubes, pipes and hoses, rigid, of polymers of v"
3,391729,"Tubes, pipes and hoses, rigid, of other plastic"
3,391731,"Flexible tubes, pipes and hoses, with a burst p"
3,391732,"Tubes, pipes and hoses, not reinforced, without"
3,391733,"Tubes, pipes and hoses, not reinforced, with fi"
3,391739,"Other tubes, pipes and hoses, nes"
3,391740,"Fittings, for tubes, pipes and hoses, of plasti"
2,3918,"Floor, wall or ceiling coverings of plastics, i"
3,391810,Floor... coverings of polymers of vinyl chlorid
3,391890,"Floor, wall or ceiling coverings of plastics, n"
2,3919,"Self-adhesive plates, foil, tape, strip... of p"
3,391910,"Self-adhesive tape, plates, strip..., in rolls,"
3,391990,"Other self-adhesive plates, tape, strip, foil.."
2,3920,"Other plates..., of plastics, not reinforced, e"
3,392010,"Plates..., of polymers of ethylene, not reinfor"
3,392020,"Plates..., of polymers of propylene, not reinfo"
3,392030,"Plates..., of polymers of styrene, not reinforc"
3,392041,"Plates..., of polymers of vinyl chloride, rigid"
3,392042,"Plates..., of polymers of vinyl chloride, flexi"
3,392051,"Plates..., of polymethyl methacrylate, not rein"
3,392059,"Plates..., of other acrylic polymers, not reinf"
3,392061,"Plates..., of polycarbonates, not reinforced, e"
3,392062,"Plates..., of polyethylene terephthalate, not r"
3,392063,"Plates..., of unsaturated polyesters, not reinf"
3,392069,"Plates..., of other polyesters, not reinforced,"
3,392071,"Plates..., of regenerated cellulose, not reinfo"
3,392072,"Plates..., of vulcanised fibre, not reinforced,"
3,392073,"Plates..., of cellulose acetate, not reinforced"
3,392079,"Plates..., of other cellulose derivatives, not"
3,392091,"Plates..., of polyvinyl butyral, not reinforced"
3,392092,"Plates..., of polyamides, not reinforced, etc"
3,392093,"Plates..., of amino-resins, not reinforced, etc"
3,392094,"Plates..., of phenolic resins, not reinforced,"
3,392099,"Plates..., of other plastics, not reinforced, e"
2,3921,"Other plates, sheets, film, foil and strip, of"
3,392111,"Cellular plates, strips... of polymers of styre"
3,392112,"Cellular plates, strips... of polymers of vinyl"
3,392113,"Cellular plates, strips... of polymers of polyu"
3,392114,"Cellular plates, strips... of polymers of regen"
3,392119,"Cellular plates, strips... of other plastics, n"
3,392190,"Other cellular plates, strips..., of plastics,"
2,3922,"Baths, shower-baths... and similar sanitary war"
3,392210,"Baths, shower-baths and wash-basins, of plastic"
3,392220,Lavatory seats and covers of plastics
3,392290,"Bidets, lavatory pans... and other sanitary war"
2,3923,"Articles for the of goods, of plastics; stopers"
3,392310,"Boxes, cases, crates and similar articles of pl"
3,392321,Sacks and bags (incl. cones) of polymers of eth
3,392329,Sacks and bags (incl. cones) of other plastics
3,392330,"Carboys, bottles, flasks and similar articles o"
3,392340,"Spools, cops, bobbins and similar supports of p"
3,392350,"Stoppers, lids, caps and other closures of plas"
3,392390,"Articles for the packing of goods, of plastics,"
2,3924,"Tableware, kitchenware... and toilet articles,"
3,392410,Tableware and kitchenware of plastics
3,392490,"Household and toilet articles of plastics, nes"
2,3925,"Builders' ware of plastics, nes"
3,392510,"Reservoirs... and similar containers, capacity"
3,392520,"Doors, windows and their frames and thresholds"
3,392530,"Shutters, blinds and similar articles and parts"
3,392590,"Builders' ware of plastics, nes"
2,3926,"Other articles of plastics, nes"
3,392610,Office or school supplies of plastics
3,392620,Articles of apparel and clothing accessories of
3,392630,"Fittings for furniture, coachwork or the like o"
3,392640,Statuettes and other ornamental articles of pla
3,392690,"Other articles of plastics, nes"
1,40,Rubber and articles thereof.
2,4001,"Natural rubber... and similar gums, in primary"
3,400110,"Natural rubber latex, in primary forms or in pl"
3,400121,Smoked sheets of natural rubber
3,400122,"Technically specified natural rubber, in primar"
3,400129,"Other natural rubber, in primary forms or in pl"
3,400130,"Balata, gutta-percha... and similar gums, in pr"
2,4002,"Synthetic rubber derived from oils, in primary"
3,400211,Latex of styrene-butadiene or carboxylated styr
3,400219,Styrene-butadiene rubber; carboxylated styrene-
3,400220,"Butadiene rubber, in primary forms or in plates"
3,400231,Isobutene-isoprene (butyl) rubber
3,400239,Halo-isobutene-isoprene rubber
3,400241,Latex of chloroprene (chlorobutadiene) rubber
3,400249,Chloroprene (chlorobutadiene) rubber (excl. lat
3,400251,Latex of acrylonitrile-butadiene rubber
3,400259,Acrylonitrile-butadiene rubber (excl. latex)
3,400260,Isoprene rubber
3,400270,Ethylene-propylene-non-conjugated diene rubber
3,400280,Mixtures of any product of 40.01 with any produ
3,400291,"Latex of synthetic rubber, nes"
3,400299,"Other synthetic rubber products (excl. latex),"
2,4003,"Reclaimed rubber in primary forms or in plates,"
3,400300,"Reclaimed rubber in primary forms or in plates,"
2,4004,"Waste, parings and scrap of rubber (excl. hard"
3,400400,"Waste, parings and scrap of rubber (excl. hard"
2,4005,"Compounded rubber, unvulcanized, in primary for"
3,400510,"Rubber compounded with carbon black or silica,"
3,400520,"Rubber solutions; dispersions, unvulcanized, ne"
3,400591,"Plates, sheets and strip of unvulcanized, compo"
3,400599,"Compounded rubber, unvulcanized, in primary for"
2,4006,Other forms and articles of unvulcanized rubber
3,400610,Camel-back strips for retreading rubber tyres
3,400690,Other forms and articles of unvulcanized rubber
2,4007,Vulcanized rubber thread and cord
3,400700,Vulcanized rubber thread and cord
2,4008,"Plates, sheets, strip, rods, etc, of vulcanized"
3,400811,"Plates, sheets and strip of cellular vulcanized"
3,400819,Rods and profile shapes of cellular vulcanized
3,400821,"Plates, sheets and strip of non-cellular, vulca"
3,400829,"Rods and profile shapes of non-cellular, vulcan"
2,4009,"Tubes, pipes and hoses, of vulcanized rubber (e"
3,400910,"Tubes..., of vulcanized rubber, not reinforced,"
3,400920,"Tubes..., of vulcanized rubber, reinforced with"
3,400930,"Tubes..., of vulcanized rubber, reinforced with"
3,400940,"Tubes..., of vulcanized rubber, reinforced with"
3,400950,"Tubes, pipes and hoses, of vulcanized rubber wi"
2,4010,"Conveyor or transmission belts or belting, of v"
3,401010,"Conveyor... belting, of vulcanized rubber of tr"
3,401091,"Conveyor... belting, of vulcanized rubber of a"
3,401099,"Conveyor... belting, of vulcanized rubber of a"
2,4011,"New pneumatic tyres, of rubber"
3,401110,"New pneumatic tyres, of rubber of a kind used o"
3,401120,"New pneumatic tyres, of rubber of a kind used o"
3,401130,"New pneumatic tyres, of rubber for aircraft"
3,401140,"New pneumatic tyres, of rubber of a kind used o"
3,401150,"New pneumatic tyres, of rubber of a kind used o"
3,401191,"New pneumatic tyres, of rubber, nes, of herring"
3,401199,"New pneumatic tyres, of rubber, nes (excl. of h"
2,4012,Retreaded or used pneumatic tyres of rubber; so
3,401210,Retreaded tyres of rubber
3,401220,Used pneumatic tyres of rubber
3,401290,"Solid... tyres, interchangeable tyre treads and"
2,4013,"Inner tubes, of rubber"
3,401310,"Inner tubes, of rubber of a kind used on motor"
3,401320,"Inner tubes, of rubber of a kind used on bicycl"
3,401390,"Inner tubes, of rubber, nes"
2,4014,"Hygienic or pharmaceutical articles, of vulcani"
3,401410,Sheath contraceptives
3,401490,Hygienic or pharmaceutical articles of vulcaniz
2,4015,"Articles of apparel and clothing accessories, o"
3,401511,Surgical gloves
3,401519,Gloves of vulcanized rubber (excl. surgical glo
3,401590,Articles of apparel and clothing accessories of
2,4016,"Other articles of vulcanized rubber, nes (excl."
3,401610,Articles of vulcanized rubber of cellular rubbe
3,401691,"Floor coverings and mats of vulcanized rubber,"
3,401692,"Erasers, of vulcanized rubber"
3,401693,"Gaskets, washers and other seals, of vulcanized"
3,401694,"Boat or dock fenders, of vulcanized rubber"
3,401695,"Inflatable articles, of vulcanized rubber, nes"
3,401699,"Articles of vulcanized rubber, nes"
2,4017,Hard rubber (eg. ebonite) in all forms; article
3,401700,Hard rubber (eg. ebonite) in all forms; article
1,41,Raw hides and skins (other than  furskins) and
2,4101,Raw hides and skins of bovine or equine animals
3,410110,"Whole hides and skins of bovine animals, =<8kg"
3,410121,"Whole hides and skins of bovine animals, nes, f"
3,410122,"Butts and bends of bovine animal hide, fresh or"
3,410129,"Hides and skins of bovine animals, fresh or wet"
3,410130,Hides and skins of bovine animals preserved but
3,410140,"Hides and skins of equine animal (fresh, or sal"
2,4102,"Raw skins of sheep or lambs, but not tanned"
3,410210,"Raw skins of sheep or lambs, with wool on"
3,410221,"Pickled skins of sheep or lambs, without wool,"
3,410229,"Skins of sheep or lambs, without wool, not pick"
2,4103,"Other raw hides and skins, fresh or preserved,"
3,410310,"Hides and skins of goats or kids, fresh or pres"
3,410320,"Hides and skins of reptiles, fresh or preserved"
3,410390,"Other hides and skins, fresh or preserved, not"
2,4104,"Leather of bovine or equine animals, without ha"
3,410410,"Whole bovine skin leather, of surface area =<2."
3,410421,"Bovine leather, vegetable pre-tanned (excl. fur"
3,410422,"Bovine leather, non-vegetable pre-tanned (excl."
3,410429,"Other bovine and equine leather, tanned (excl."
3,410431,"Full-grains, splits of bovine and equine leathe"
3,410439,"Bovine and equine leather, prepared after tanni"
2,4105,"Sheep or lamb skin leather, without wool on"
3,410511,"Sheep, lamb skin leather, vegetable pre-tanned"
3,410512,"Sheep, lamb skin leather, non-veg. pre-tanned ("
3,410519,"Sheep or lamb skin leather, (excl. further prep"
3,410520,"Sheep or lamb skin leather, prepared after tann"
2,4106,"Goat or kid skin leather, without hair on"
3,410611,"Goat or kid skin leather, vegetable pre-tanned,"
3,410612,"Goat or kid skin leather, pre-tanned, (excl. fu"
3,410619,"Goat or kid skin leather, (excl. further prepar"
3,410620,"Goat or kid skin leather, prepared after tannin"
2,4107,"Leather of other animals, without hair on"
3,410710,"Leather of swine, without hair on"
3,410721,"Leather of reptiles, vegetable pre-tanned"
3,410729,"Leather of reptiles, nes"
3,410790,"Leather of animals, nes"
2,4108,Chamois (incl. combination chamois) leather
3,410800,Chamois (incl. combination chamois) leather
2,4109,Patent leather and patent laminated leather; me
3,410900,Patent leather and patent laminated leather; me
2,4110,Waste... of leather or of composition leather;
3,411000,Waste... of leather or of composition leather;
2,4111,"Composition leather with a basis of leather...,"
3,411100,"Composition leather with a basis of leather...,"
1,42,Articles of leather; saddlery/harness;  travel
2,4201,"Saddlery and harness for any animal, of any mat"
3,420100,"Saddlery and harness for any animal, of any mat"
2,4202,"Trunks, suit-cases...; handbags... and similar"
3,420211,"Trunks, suit-cases..., etc, with outer surface"
3,420212,"Trunks, suit-cases..., etc, with outer surface"
3,420219,"Trunks, suit-cases..., etc, nes"
3,420221,"Handbags with outer surface of leather, or comp"
3,420222,Handbags with outer surface of plastic sheeting
3,420229,"Handbags, nes"
3,420231,"Articles normally carried in pocket or handbag,"
3,420232,"Articles normally carried in pocket or handbag,"
3,420239,"Articles normally carried in pocket or handbag,"
3,420291,"Cases and containers, nes, with outer surface o"
3,420292,"Cases and containers, nes, with outer surface o"
3,420299,"Cases and containers, nes, with outer surface o"
2,4203,Articles of apparel and clothing accessories of
3,420310,Articles of apparel of leather
3,420321,"Gloves, mittens and mitts for use in sports, of"
3,420329,"Protective gloves, mittens and mitts for trades"
3,420330,Belts and bandoliers of leather or composition
3,420340,Clothing accessories of leather or composition
2,4204,Articles of leather used in machinery or mechan
3,420400,Articles of leather used in machinery or mechan
2,4205,"Articles of leather or of composition leather,"
3,420500,"Articles of leather or of composition leather,"
2,4206,"Articles of gut (excl. silk-worm), goldbeater's"
3,420610,Articles of catgut
3,420690,"Articles of gut (excl. silk-worm or cat-gut), o"
1,43,Furskins and artificial fur;  manufactures ther
2,4301,Raw furskins (excl. raw hides and skins of 41.0
3,430110,"Raw furskins of mink, whole"
3,430120,"Raw furskins of rabbit or hare, whole"
3,430130,"Raw furskins of specified types of lamb, whole"
3,430140,"Raw furskins of beaver, whole"
3,430150,"Raw furskins of muskrat, whole"
3,430160,"Raw furskins of fox, whole"
3,430170,"Raw furskins of seal, whole"
3,430180,"Raw furskins, nes"
3,430190,"Heads, tails, paws and other pieces of raw furs"
2,4302,Tanned or dressed furskins (excl. 43.03)
3,430211,"Tanned or dressed whole skins of mink, not asse"
3,430212,Tanned or dressed whole skins of rabbit or hare
